setID,number,numberVariant,name,year,theme,themeGroup,subtheme,category,released,image/thumbnailURL,image/imageURL,bricksetURL,collections/ownedBy,collections/wantedBy,LEGOCom/US/retailPrice,LEGOCom/US/dateFirstAvailable,LEGOCom/CA/retailPrice,LEGOCom/CA/dateFirstAvailable,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,lastUpdated,pieces,ageRange/min,dimensions/height,dimensions/width,dimensions/depth,dimensions/weight,barcode/EAN,minifigs,LEGOCom/UK/retailPrice,LEGOCom/UK/dateFirstAvailable,LEGOCom/DE/retailPrice,LEGOCom/DE/dateFirstAvailable,barcode/UPC,LEGOCom/US/dateLastAvailable,LEGOCom/CA/dateLastAvailable,LEGOCom/UK/dateLastAvailable,LEGOCom/DE/dateLastAvailable,ageRange/max
29882,5005891,1,8 Stud Blue Desk Drawer,2020,Gear,Miscellaneous,Storage,Gear,TRUE,https://images.brickset.com/sets/small/5005891-1.jpg,https://images.brickset.com/sets/images/5005891-1.jpg,https://brickset.com/sets/5005891-1,52,69,16.99,2020-01-17T00:00:00Z,22.99,2020-01-16T00:00:00Z,0,0,{Not specified},{Not specified},0,2,2020-01-16T08:34:35.813Z,,,,,,,,,,,,,,,,,,
29791,30548,1,Build Your Own Birds - Make it Yours,2020,Miscellaneous,Miscellaneous,,Normal,TRUE,https://images.brickset.com/sets/small/30548-1.jpg,https://images.brickset.com/sets/images/30548-1.jpg,https://brickset.com/sets/30548-1,1307,237,4.99,,,,3.2,2,Polybag,LEGO exclusive,2,1,2020-01-09T20:53:46.59Z,26,5,14,14,0.5,0.013,5702016656909,,,,,,,,,,,
29780,30368,1,Fire Rescue Water Scooter,2020,City,Modern day,Fire,Normal,TRUE,https://images.brickset.com/sets/small/30368-1.jpg,https://images.brickset.com/sets/images/30368-1.jpg,https://brickset.com/sets/30368-1,1078,381,4.99,,,,3.5,3,Polybag,Retail - limited,2,0,2020-06-11T23:56:20.267Z,33,5,17,17,0.8,0.041,5702016668971,1,,,,,,,,,,
29769,41431,1,Heartlake City Brick Box,2020,Friends,Girls,,Normal,TRUE,https://images.brickset.com/sets/small/41431-1.jpg,https://images.brickset.com/sets/images/41431-1.jpg,https://brickset.com/sets/41431-1,203,204,39.99,2020-01-02T00:00:00Z,49.99,2020-01-02T00:00:00Z,0,0,Tub,Retail,6,4,2019-12-31T17:25:27.73Z,321,5,18,37,18,0.96,5702016668735,2,34.99,2020-01-01T00:00:00Z,39.99,2020-01-03T00:00:00Z,673419322454,,,,,
29967,5006004,1,"â€“ Page from British Patent Application for LEGO Elements, 1968",2020,Gear,Miscellaneous,Posters,Gear,TRUE,https://images.brickset.com/sets/small/5006004-1.jpg,https://images.brickset.com/sets/images/5006004-1.jpg,https://brickset.com/sets/5006004-1,196,111,,,,,0,0,{Not specified},{Not specified},0,1,2020-02-08T16:17:56.91Z,,,,,,,,,,,,,,,,,,
30298,ISBN9780744024470,1,100 Ways to Rebuild the World,2020,Books,Miscellaneous,Dorling Kindersley,Book,TRUE,https://images.brickset.com/sets/small/ISBN0744024471-1.jpg,https://images.brickset.com/sets/images/ISBN0744024471-1.jpg,https://brickset.com/sets/ISBN9780744024470-1,12,64,,,,,0,0,{Not specified},{Not specified},0,0,2020-05-11T16:14:09.35Z,,,,,,,,,,,,,,,,,,
29914,5005963,1,12 Pack Marker Set,2020,Gear,Miscellaneous,Stationery,Gear,TRUE,https://images.brickset.com/sets/small/5005963-1.jpg,https://images.brickset.com/sets/images/5005963-1.jpg,https://brickset.com/sets/5005963-1,25,60,19.99,2020-01-18T00:00:00Z,19.99,2020-01-17T00:00:00Z,0,0,{Not specified},{Not specified},0,1,2020-01-17T21:20:17.01Z,,,,,,,,,,,,,,2020-02-08T00:00:00Z,2020-02-08T00:00:00Z,,,
30742,21324,1,123 Sesame Street,2020,Ideas,Miscellaneous,Licensed,Normal,TRUE,https://images.brickset.com/sets/small/21324-1.jpg,https://images.brickset.com/sets/images/21324-1.jpg,https://brickset.com/sets/21324-1,4250,2037,119.99,2020-11-01T00:00:00Z,149.99,2020-11-01T00:00:00Z,4.4,0,Box,Retail - limited,7,22,2020-12-20T22:02:10.043Z,1368,18,35.2,37.4,9.1,1.863,5702016819953,6,109.99,2020-11-01T00:00:00Z,119.99,2020-11-02T00:00:00Z,,,,,,
29493,76897,1,1985 Audi Sport Quattro S1,2020,Speed Champions,Licensed,Audi,Normal,TRUE,https://images.brickset.com/sets/small/76897-1.jpg,https://images.brickset.com/sets/images/76897-1.jpg,https://brickset.com/sets/76897-1,6876,1330,19.99,2020-01-02T00:00:00Z,24.99,2020-01-02T00:00:00Z,4.3,4,Box,Retail,2,4,2020-01-09T17:24:47.46Z,250,7,14.1,26.2,7.2,0.31,5702016618334,1,17.99,2020-01-01T00:00:00Z,19.99,2020-01-03T00:00:00Z,673419319102,,,,,
30866,76161,1,1989 Batwing,2020,DC Comics Super Heroes,Licensed,Batman 1989,Normal,TRUE,https://images.brickset.com/sets/small/76161-1.jpg,https://images.brickset.com/sets/images/76161-1.jpg,https://brickset.com/sets/76161-1,3211,2095,199.99,2020-10-22T00:00:00Z,259.99,2020-10-22T00:00:00Z,4.3,2,Box,LEGO exclusive,8,20,2020-09-19T13:54:21.27Z,2363,18,48,58.2,12.4,,5702016669404,3,179.99,2020-10-22T00:00:00Z,199.99,2020-10-22T00:00:00Z,,,,,,
29919,853992,1,2x4 Black Metal Keyring,2020,Gear,Miscellaneous,Key Chains/Brick,Gear,TRUE,https://images.brickset.com/sets/small/853992-1.jpg,https://images.brickset.com/sets/images/853992-1.jpg,https://brickset.com/sets/853992-1,180,107,5.99,2020-02-13T00:00:00Z,6.99,2020-02-13T00:00:00Z,0,0,Tag,LEGO exclusive,0,1,2020-01-31T11:21:29.507Z,,6,,,,,,,3.99,2020-02-13T00:00:00Z,4.86,2020-02-13T00:00:00Z,673419323819,,,2020-11-03T00:00:00Z,2020-11-04T00:00:00Z,
29920,853993,1,2x4 Bright Blue Keyring,2020,Gear,Miscellaneous,Key Chains/Brick,Gear,TRUE,https://images.brickset.com/sets/small/853993-1.jpg,https://images.brickset.com/sets/images/853993-1.jpg,https://brickset.com/sets/853993-1,128,55,5.99,2020-02-13T00:00:00Z,6.99,2020-02-13T00:00:00Z,0,0,Tag,LEGO exclusive,0,1,2020-01-31T11:21:35.79Z,,6,,,,,,,3.99,2020-02-13T00:00:00Z,4.86,2020-02-13T00:00:00Z,673419323826,,,2020-07-03T00:00:00Z,2020-07-04T00:00:00Z,
29908,5005620,1,2x4 Lavender Luggage Tag,2020,Gear,Miscellaneous,Bags,Gear,TRUE,https://images.brickset.com/sets/small/5005620-1.jpg,https://images.brickset.com/sets/images/5005620-1.jpg,https://brickset.com/sets/5005620-1,14,26,4.99,2020-01-18T00:00:00Z,6.99,2020-01-17T00:00:00Z,0,0,{Not specified},{Not specified},0,2,2020-01-17T21:10:48.273Z,,,,,,,,,,,,,,2020-01-22T00:00:00Z,2020-01-22T00:00:00Z,,,
30912,66643,1,3-in-1 Bundle Pack,2020,City,Modern day,Product Collection,Collection,TRUE,https://images.brickset.com/sets/small/66643-1.jpg,https://images.brickset.com/sets/images/66643-1.jpg,https://brickset.com/sets/66643-1,43,43,,,,,0,0,{Not specified},{Not specified},0,0,2020-11-22T11:29:10.8Z,377,,,,,,,,,,,,,,,,,
29472,75968,1,4 Privet Drive,2020,Harry Potter,Licensed,Chamber of Secrets,Normal,TRUE,https://images.brickset.com/sets/small/75968-1.jpg,https://images.brickset.com/sets/images/75968-1.jpg,https://brickset.com/sets/75968-1,6433,2604,69.99,2020-08-24T00:00:00Z,99.99,2020-08-24T00:00:00Z,4.3,4,Box,Retail,2,10,2021-04-07T10:56:45.307Z,797,8,26.2,38.2,9.4,0.92,5702016616682,6,64.99,2020-05-02T00:00:00Z,69.99,2020-05-03T00:00:00Z,673419317900,,,,,
29890,5005714,1,4 Stud Aqua Light Blue Storage Brick Drawer,2020,Gear,Miscellaneous,Storage,Gear,TRUE,https://images.brickset.com/sets/small/5005714-1.jpg,https://images.brickset.com/sets/images/5005714-1.jpg,https://brickset.com/sets/5005714-1,23,54,24.99,2020-01-18T00:00:00Z,32.99,2020-01-17T00:00:00Z,0,0,{Not specified},{Not specified},0,2,2020-01-17T21:15:00.11Z,,,,,,,5711938029890,,24.99,2020-05-06T00:00:00Z,24.99,2020-05-07T00:00:00Z,,2020-05-16T00:00:00Z,2020-05-16T00:00:00Z,,,
